Feature,Feature,Threshold,C-index,HR,95% CI Lower,95% CI Upper,P-value,C-index_replication,HR_replication,95% CI Lower_replication,95% CI Upper_replication,P-value_replication,padj
hsa-let-7a-5p,isomiR-let-7a-5p,7109.838905803335,0.5066689613630496,0.9091024482510799,0.65442771960242,1.2628854748362517,0.5698698284075264,0.5316438541807833,0.7412693491098842,0.4899159645448407,1.1215806131982025,0.1565015962925571,0.8040033411738474
hsa-let-7a-5p.A,isomiR-let-7a-5p.A,123.522242396607,0.5017640478444196,0.9685718717137649,0.6988816323098752,1.3423324169709332,0.8479121591219301,0.564981704838054,0.5484735615549586,0.35474702579039,0.8479937134202471,0.006900350733176357,0.9457885201269504
hsa-let-7a-5p.A10G,isomiR-let-7a-5p.A10G,13.8082069779771,0.5355821357886584,1.2421577184173982,0.8953387072752262,1.7233207778088535,0.1942360932136168,0.5495324569724895,0.7210224508320299,0.4696492471555939,1.1069396528418023,0.13479757068769765,0.4595398620794113
hsa-let-7a-5p.A10G.t,isomiR-let-7a-5p.A10G.t,4.96780227975437,0.5370880302899923,1.3605402678938803,0.9788440169216901,1.8910774225111717,0.06685004868062591,0.4979672042282152,1.257713088665755,0.8246606110228967,1.9181736004573564,0.28698686078736935,0.2857020812488998
hsa-let-7a-5p.A10G.tt,isomiR-let-7a-5p.A10G.tt,5.786786302109755,0.5387660270200499,0.924921019943084,0.6656858569421736,1.2851090108211027,0.6418550363780131,0.5269006640466188,1.253607722080807,0.8090848437247958,1.9423578788421538,0.3116795992465353,0.8446060505311388
hsa-let-7a-5p.A17G,isomiR-let-7a-5p.A17G,17.33038798229435,0.5363135702607349,1.427247601825196,1.027381063936969,1.9827460213348336,0.03392022463394635,0.5639653069521615,0.8199631626722238,0.5319475232888394,1.2639208920131872,0.36861038738130536,0.21776490533394996
hsa-let-7a-5p.A17G.t,isomiR-let-7a-5p.A17G.t,8.92781732986288,0.5342053179588676,1.5106036860069025,1.0790894278630767,2.114675055890909,0.016240841440715453,0.49735736549667975,1.0434369205675185,0.6283961137344429,1.7326023879000796,0.8694633417554003,0.16961385814493674
hsa-let-7a-5p.A3G,isomiR-let-7a-5p.A3G,20.26221732361775,0.5629463901557525,1.7886755906670069,1.2785099654145726,2.502413321127719,0.0006885487130037285,0.500271039436238,1.1391817261620008,0.6313665969673041,2.05543817404176,0.6651921522104844,0.05672876341025163
hsa-let-7a-5p.A3G.t,isomiR-let-7a-5p.A3G.t,6.7439047042472104,0.5480165218139574,1.4515646142504064,1.04524888684126,2.0158259490822337,0.02614183450818859,0.5230383520802276,0.8393230803385117,0.5224022176700311,1.3485073557514895,0.4690448428006594,0.2000524003374797
hsa-let-7a-5p.A3G.tt,isomiR-let-7a-5p.A3G.tt,7.76199660111474,0.5134239738404612,1.153812164640347,0.8306077718549695,1.6027811879233118,0.3935578630788137,0.5106382978723404,1.1768957747037485,0.7796965908336195,1.7764392980539543,0.4381270251764595,0.66778754112801
hsa-let-7a-5p.A7G,isomiR-let-7a-5p.A7G,14.3615777035589,0.5040874279321917,1.0598526564506214,0.7634722695058012,1.4712880850440684,0.7283311549472467,0.529678818268058,0.8925490134847244,0.5791772548943025,1.3754748390765776,0.606434862703161,0.8817131026323739
hsa-let-7a-5p.A7G.t,isomiR-let-7a-5p.A7G.t,5.66163967733081,0.514886842784614,1.289831580438263,0.9252485624191076,1.7980741321511837,0.13320404168719185,0.5052852690066405,1.037065147553435,0.6884481944500651,1.5622150351184294,0.8617832359129257,0.39826934238327727
hsa-let-7a-5p.A7G.tt,isomiR-let-7a-5p.A7G.tt,6.221324652577289,0.49199724636434045,1.0735564735094687,0.772889426795221,1.4911880818359942,0.6720376098036762,0.5357772055834124,1.195216127214152,0.7621059023001098,1.874465984899629,0.43733309476880766,0.8571184415850304
hsa-let-7a-5p.AA,isomiR-let-7a-5p.AA,17.5349707297566,0.5291713277686946,0.8056774180534617,0.5807007568624811,1.1178151471137365,0.19590234723491226,0.5285946605231061,0.8218450198412335,0.5455299264442248,1.238115828109191,0.348037847379315,0.4595398620794113
hsa-let-7a-5p.AT,isomiR-let-7a-5p.AT,5.550876301552285,0.5371310558471732,0.743191120831215,0.5357544175872817,1.0309444475880125,0.07549314418204284,0.5578669196368071,0.7915443795672699,0.5230328688914719,1.1979027363087962,0.2688125882097021,0.3042291652770911
hsa-let-7a-5p.G,isomiR-let-7a-5p.G,18.4678656434414,0.49612769985371313,0.9923948366684004,0.7162184885252222,1.3750657482663113,0.9634066123524112,0.5218864344762163,1.545062689554647,1.0076267068889329,2.369149902769473,0.04606466683939434,0.9914864719768396
hsa-let-7a-5p.G11A,isomiR-let-7a-5p.G11A,4.724870594100279,0.515015919456157,1.0450902009345175,0.754123675944314,1.4483214927865513,0.7910788133002774,0.5017617563355469,1.110665085482006,0.7295245191081164,1.6909327922478423,0.6245406300596641,0.9194121317588647
hsa-let-7a-5p.G12T,isomiR-let-7a-5p.G12T,4.62072594039388,0.5463385250838998,1.4713429220303476,1.0582520647255516,2.045684640143118,0.02163647565318163,0.5464832633148123,0.6519185871537881,0.41232988031290124,1.0307228861368882,0.06717596943186457,0.18852703131405266
hsa-let-7a-5p.G15A,isomiR-let-7a-5p.G15A,7.40410596278015,0.5373461836330781,1.3571379062053621,0.9776528545948994,1.8839236113340587,0.06801534506479899,0.5423499119121832,0.9624938859161793,0.6400191581614704,1.4474480468478528,0.8543072360895863,0.28819073351741975
hsa-let-7a-5p.G20A,isomiR-let-7a-5p.G20A,5.974162703121365,0.5093365459082695,1.0327564403164347,0.7436704992658337,1.4342183346899309,0.8474518295070945,0.5272394633419163,0.9245543134155602,0.6089641268311967,1.4036962783068276,0.7127176998247782,0.9457885201269504
hsa-let-7a-5p.G2A,isomiR-let-7a-5p.G2A,7.761500585591509,0.501204715601067,1.0588390092974307,0.763719271340692,1.4680002059419406,0.7316229359060656,0.4980349640872747,1.0445054543847367,0.6612644309267567,1.649856839737243,0.8519048300915428,0.8817131026323739
hsa-let-7a-5p.G4A,isomiR-let-7a-5p.G4A,8.140392387193504,0.4948799586954651,1.0045504464675454,0.7242553843132501,1.3933228821695391,0.9783003028996017,0.5266296246103808,0.9630615267459774,0.6148135181283353,1.5085671946866503,0.8694396936730573,0.9972375681835159
hsa-let-7a-5p.G5A,isomiR-let-7a-5p.G5A,8.314795626700665,0.5143275105412615,1.2446624769251642,0.8959902408994798,1.7290195927918441,0.19186624647571807,0.5263585851741428,0.9460078564828202,0.6143054892903442,1.4568173003973297,0.8010706291771728,0.45852744479767893
